motif,prime form,inversion,retrograde,retrograde inversion
'-M2 P4 -m2 -M3',3,0,0,0
'm2 -m3 M2 -M2',1,0,0,0
'M2 -P5 P5 -P5',1,0,0,0
'P4 -m2 m2 -m3',1,0,0,0
'm2 P5 -m3 M2',1,0,0,0
'm2 P1 -m6 m3',1,0,0,0
'-m2 -M3 P8 -m2',2,0,0,0
'M2 -M2 M2 -M2',1,0,0,0
'-m2 -M3 m3 -m2',1,0,0,0
'-m2 m2 -m2 m2',1,0,0,0
'-m3 m2 -m2 -M2',1,0,0,0
'm3 -P5 P8 -m2',1,0,0,0
'P1 -M2 -M2 P4',1,0,0,0
'-M3 M2 -P5 M2',1,0,0,0
'-M3 P8 -m2 -M2',2,0,0,0
'-m3 P4 -P5 P5',1,0,0,0
'm3 -m2 -M2 m3',1,0,0,0
'M2 M2 -P4 m3',1,0,0,0
'-P8 M2 m2 -m3',1,0,0,0
'P4 -m2 -M3 m3',1,0,0,0
